"An Lushan","安祿山"
"Gao Gu","高固"
"Gao Hui","高暉"
"Gao Jian","高儉"
"Gao Jiong","高熲"
"Gao Kai","高鍇"
"Gao Kaidao","高開道"
"Gao Lishi","高力士"
"Gao Lvxing","高履行"
"Gao Manzheng","高滿政"
"Gao Mu","高沐"
"Gao Qu","高璩"
"Gao Shaoyi","高少逸"
"Gao Sheng","高昇"
"Gao Shi","高適"
"Gao Xianzhi","高仙芝"
"Gao Xiayu","高霞寓"
"Gao Xiuyan","高秀巖"
"Gao Yi","高釴"
"Gao Ying","高郢"
"Gao Yu","高瑀"
"Gao Yuanyu","高元裕"
"Gao Zengsheng","高甑生"
"Gao Zhenxing","高真行"
"Gao Zhu","高銖"
"Geng Yan","耿弇"
"Geshu Han","哥舒翰"
"Geshu Huang","哥舒晃"
"Gongsun Wuda","公孫武達"
"Gu Shiyong","顧師邕"
"Guan Chongsi","管崇嗣"
"Guan Zhong","管仲"
"Gui Chongjing","歸崇敬"
"Gui Deng","歸登"
"Gui Rong","歸融"
"Guo Ai","郭曖"
"Guo Chengjia","郭承嘏"
"Guo Cong","郭鏦"
"Guo Daiju","郭待舉"
"Guo Fan","郭鐇"
"Guo Gan(2)","郭旰"
"Guo Gang","郭鋼"
"Guo Han","郭翰"
"Guo Jingzhi","郭敬之"
"Guo Jun","郭鈞"
"Guo Po","郭昢"
"Guo Qianguan","郭虔瓘"
"Guo Shanyun","郭山惲"
"Guo Shu(2)","郭曙"
"Guo Wu","郭晤"
"Guo Xi(2)","郭晞"
"Guo Xian","郭銛"
"Guo Xianqiu","郭獻璆"
"Guo Xiaoke","郭孝恪"
"Guo Xin","郭昕"
"Guo Xingfang","郭行方"
"Guo Xingyu","郭行餘"
"Guo Xun","郭絢"
"Guo Yao","郭曜"
"Guo Ying","郭映"
"Guo Yingjie","郭英傑"
"Guo Yingyi","郭英乂"
"Guo Youming","郭幼明"
"Guo Yuanzhen","郭元振"
"Guo Zhao(2)","郭釗"
"Guo Zhiyun","郭知運"
"Guo Zhonggong","郭仲恭"
"Guo Zhongwen","郭仲文"
"Guo Ziyi","郭子儀"
"Han Chaozong","韓朝宗"
"Han Chong","韓充"
"Han Ci","韓佽"
"Han Damin","韓大敏"
"Han Gao","韓皋"
"Han Gongwu","韓公武"
"Han Hong","韓洪"
"Han Hong","韓弘"
"Han Huang","韓滉"
"Han Hui","韓洄"
"Han Qinhu","韓擒虎"
"Han Quanyi","韓全義"
"Han Qun","韓羣"
"Han Sifu","韓思復"
"Han Wo","韓偓"
"Han Xin","韓信"
"Han Xiu","韓休"
"Han Yi","韓儀"
"Han Yougui","韓遊瓌"
"Han Yu","韓愈"
"Han Yue","韓約"
"Hao Chujun","郝處俊"
"Hao Ci","郝玼"
"Hao Tingyu","郝廷玉"
"He Fengyao","和逢堯"
"Heichi Changzhi","黑齒常之"
"Helan Jinming","賀蘭進明"
"Hou Junji","侯君集"
"Hou Xiyi","侯希逸"
"Hu Faguang","許法光"
"Hu Fuqian","許輔乾"
"Hu Qinji","許欽寂"
"Hu Qinming","許欽明"
"Hu Shao","許紹"
"Hu Shuji","許叔冀"
"Hu Xiang","胡湘"
"Hu Yan","胡演"
"Hu Yin","胡溵"
"Hu Yuanfan","胡元範"
"Hu Zheng","胡証"
"Hu Zhiren","許智仁"
"Huan Fasi","桓法嗣"
"Huan Xuanfan","桓玄範"
"Huan Yanfan","桓彥範"
"Huang Junhan","黃君漢"
"Huangfu Shen","皇甫侁"
"Huangfu Shi","皇甫湜"
"Huangfu Wuyi","皇甫無逸"
"Hun Jian","渾瑊"
"Hun Rijin","渾日進"
"Hun Shizhi","渾釋之"
"Huo Qubing","霍去病"
"Ji Chune","紀處訥"
"Ji Guangchen","季廣琛"
"Ji Wen","吉溫"
"Ji Xu","吉頊"
"Jia Dan","郟亶"
"Jia Dan","賈耽"
"Jia Dao","賈島"
"Jia Shishun","賈師順"
"Jia Su","賈餗"
"Jia Yanzhong","賈言忠"
"Jia Yi(2)","賈誼"
"Jia Zeng","賈曾"
"Jia Zhi","賈至"
"Jiang Baoyi","姜寶誼"
"Jiang Gongfu","姜公輔"
"Jiang Jiao","姜皎"
"Jiang Mo","姜謩"
"Jiang Qinxu","蔣欽緒"
"Jiang Rouyuan","姜柔遠"
"Jiang Shen","蔣伸"
"Jiang Xi","蔣係"
"Jiang Xingben","姜行本"
"Jiang Yi","蔣乂"
"Jie Li","頡利"
"Jie Wan","解琬"
"Jin Wenyan","晉文衍"
"Jing Hui","敬晦"
"Jing Hui","敬暉"
"Jing Kuo","敬括"
"Jing Yu","敬羽"
"Jing Yuanying","敬元膺"
"Kan ¶","闞稜"
"Kong Chaofu","孔巢父"
"Kong Deshao","孔德紹"
"Kong Ji","孔戢"
"Kong Kan","孔戡"
"Kong Kui","孔戣"
"Lai Huer","來護兒"
"Lai Ji","來濟"
"Lai Junchen","來俊臣"
"Lai Tian","來瑱"
"Li Anyuan","李安遠"
"Li Ao","李翱"
"Li Baiyao","李百藥"
"Li Baochen","李寶臣"
"Li Baoyu","李抱玉"
"Li Baozhen","李抱真"
"Li Bin","李玢"
"Li Bo","李渤"
"Li Boyi","李博乂"
"Li Can(4)","李粲"
"Li Chan","李躔"
"Li Chang","李常"
"Li Changqing","李長卿"
"Li Chao","李綽"
"Li Chaoyin","李朝隱"
"Li Chen","李諶"
"Li Chen","李琛"
"Li Cheng","李程"
"Li Cheng","李承"
"Li Cheng","李程"
"Li Chengcai","李承寀"
"Li Chenghong","李承宏"
"Li Chengning","李承寧"
"Li Chengqian","李承乾"
"Li Chengyu","李成裕"
"Li Chengzhao","李承昭"
"Li Chongfu","李重福"
"Li Chongjie","李充節"
"Li Chongxu","李沖虛"
"Li Chongxuan","李沖玄"
"Li Chongyi","李崇義"
"Li Chou","李綢"
"Li Chulin","李楚琳"
"Li Chun(2)","李純"
"Li Chunfeng","李淳風"
"Li Cong","李琮"
"Li Daliang","李大亮"
"Li Daoli","李道立"
"Li Daoxuan","李道玄"
"Li Daoyan","李道彥"
"Li Daoyu","李道裕"
"Li Daozong","李道宗"
"Li Delin","李德林"
"Li Deyu","李德裕"
"Li Duozuo","李多祚"
"Li E","李諤"
"Li Fan","李藩"
"Li Fan","李範"
"Li Feng","李鳳"
"Li Fengji","李逢吉"
"Li Fu","李福"
"Li Fu","李復"
"Li Fuguo","李輔國"
"Li Fuye","李福業"
"Li Gan","李甘"
"Li Gan","黎幹"
"Li Gang","李綱"
"Li Gao","李暠"
"Li Gao","李臯"
"Li Gaoqian","李高遷"
"Li Gong","李珙"
"Li Gongchang","李公昌"
"Li Gou","李遘"
"Li Guan","李觀"
"Li Guan","李瓘"
"Li Guang","李僙"
"Li Guangbi","李光弼"
"Li Guangdu","李光度"
"Li Guangjin","李光進"
"Li Guangjin","李光進"
"Li Guangli","李廣利"
"Li Guangshun","李光順"
"Li Guangyan","李光顏"
"Li Gui","李軌"
"Li Gui","李珪"
"Li Guochen","李國臣"
"Li Guozhen","李國貞"
"Li Guyan","李固言"
"Li Han","李涵"
"Li Han","李涵"
"Li Heng","李衡"
"Li Heng","李亨"
"Li Heng(2)","李恆"
"Li Hong","李紘"
"Li Hong","李弘"
"Li Hongjie","李弘節"
"Li Huaiguang","李懷光"
"Li Huaixian","李懷仙"
"Li Huaiyuan","李懷遠"
"Li Huan","李環"
"Li Huan(5)","李峘"
"Li Huang","李瑝"
"Li Hun","李緄"
"Li Ji","李績"
"Li Ji","李緝"
"Li Ji(7)","李勣"
"Li Jian","李兼"
"Li Jian","李建"
"Li Jiancheng","李建成"
"Li Jiang","李絳"
"Li Jianhui","李建徽"
"Li Jiao","李璬"
"Li Jiao","李佼"
"Li Jie","李誡"
"Li Jie","李結"
"Li Jie","李傑"
"Li Jie","李皆"
"Li Jifu","李吉甫"
"Li Jin","李璡"
"Li Jin","李瑾"
"Li Jin","李僅"
"Li Jinchao","李進超"
"Li Jing","李經"
"Li Jing","李靖"
"Li Jing","李經"
"Li Jingbo","李景伯"
"Li Jinglve","李景略"
"Li Jingrang","李景讓"
"Li Jingwen","李景溫"
"Li Jingye","李敬業"
"Li Jinxian","李進賢"
"Li Jiong","李迥"
"Li Jiongxiu","李迥秀"
"Li Jiqing","李季卿"
"Li Ju","李琚"
"Li Ju","李巨"
"Li Jue","李珏"
"Li Junyan","李君羨"
"Li Ke(2)","李恪"
"Li Keshi","李客師"
"Li Kuan","李款"
"Li Kui","李逵"
"Li Kui","李揆"
"Li Kuo","李廓"
"Li Kuo","李适"
"Li Lian","李連"
"Li Liang","李諒"
"Li Lin","李琳"
"Li Lin","李琳"
"Li Lin","李璘"
"Li Lin","李麟"
"Li Linfu","李林甫"
"Li Lingkui","李靈夔"
"Li Lingwen","李令問"
"Li Lingyao","李靈耀"
"Li Lizhi","李麗質"
"Li Longji","李隆基"
"Li Luan","李欒"
"Li Lun","李綸"
"Li Mao","李瑁"
"Li Mengchang","李孟嘗"
"Li Mi","李密"
"Li Miao","李邈"
"Li Na","李納"
"Li Nai","李迺"
"Li Pengnian","李彭年"
"Li Qi","李綺"
"Li Qi","李琦"
"Li Qian","李謙"
"Li Qiao","李嶠"
"Li Qiu","李絿"
"Li Qiu","李璆"
"Li Qiwu","李齊物"
"Li Quanlve","李全略"
"Li Rangyi","李讓夷"
"Li Rizhi","李日知"
"Li Rong","李融"
"Li Ruochu","李若初"
"Li Ruoshui","李若水"
"Li Shan","李繕"
"Li Shan","李善"
"Li Shangjin","李上金"
"Li Shangyin","李尚隱"
"Li Shaokang","李少康"
"Li Shen","李紳"
"Li Shen","李伸"
"Li Shenfu","李神符"
"Li Sheng","李昇"
"Li Sheng","李晟"
"Li Shi","李石"
"Li Shidao","李師道"
"Li Shigu","李師古"
"Li Shimin","李世民"
"Li Shixian","李師賢"
"Li Shizhen","李士眞"
"Li Shizhi","李師智"
"Li Shizhi","李適之"
"Li Shou","李壽"
"Li Shouli","李守禮"
"Li Shouyi","李守義"
"Li Shu","李紓"
"Li Shu","李璹"
"Li Shu","李述"
"Li Shu","李紓"
"Li Shuang","李爽"
"Li Shuliang","李叔良"
"Li Shuo","李說"
"Li Si","李偲"
"Li Simo","李思摩"
"Li Siwen","李思文"
"Li Sixing","李思行"
"Li Siye","李嗣業"
"Li Sizhuang","李嗣莊"
"Li Song(6)","李誦"
"Li Su","李遡"
"Li Su","李愬"
"Li Sui","李璲"
"Li Sujie","李素節"
"Li Tan","李倓"
"Li Tian","李瑱"
"Li Ting","李珽"
"Li Ting","李侹"
"Li Tong","李通"
"Li Tongjie","李同捷"
"Li Tongqing","李洞清"
"Li Wan","李綰"
"Li Wan","李萬"
"Li Wan","李琬"
"Li Wanrong","李萬榮"
"Li Wei","李緯"
"Li Wei","李蔚"
"Li Wei","李洧"
"Li Wei","李撝"
"Li Weicheng","李惟誠"
"Li Weijian","李惟簡"
"Li Weiyue","李惟岳"
"Li Weiyue","李惟岳"
"Li Wentong","李文通"
"Li Xi","李係"
"Li Xi","李磎"
"Li Xian","李諴"
"Li Xian","李憲"
"Li Xian","李僴"
"Li Xian","李暹"
"Li Xian","李賢"
"Li Xian","李峴"
"Li Xiang","李詳"
"Li Xiang","李緗"
"Li Xiao","李翛"
"Li Xiao","李孝"
"Li Xiaoben","李孝本"
"Li Xiaochang","李孝常"
"Li Xiaogong","李孝恭"
"Li Xiaoji","李孝基"
"Li Xiaotong","李孝同"
"Li Xiaoyi","李孝逸"
"Li Xilie","李希烈"
"Li Xiyu","李襲譽"
"Li Xiyun","李栖筠"
"Li Xizhi","李襲志"
"Li Xu","李頊"
"Li Xuan","李璿"
"Li Xuandao","李玄道"
"Li Xun","李遜"
"Li Xun","李訓"
"Li Xun","李絢"
"Li Xun","李珣"
"Li Xun","李濬"
"Li Xun","李迅"
"Li Xun","李巽"
"Li Xun","李纁"
"Li Yan","李琰"
"Li Ye","李燁"
"Li Ye","李業"
"Li Yi","李誼"
"Li Yi","李𤤺"
"Li Yi","李誼"
"Li Yi","李乂"
"Li Yi","李錡"
"Li Yi","李逸"
"Li Yi(21)","李嶧"
"Li Yifu","李義府"
"Li Yijian","李夷簡"
"Li Yin","李諲"
"Li Ying","李瑛"
"Li Yong","李鄘"
"Li You","李祐"
"Li Yu","李瑀"
"Li Yu","李逾"
"Li Yu","李遇"
"Li Yu","李遹"
"Li Yu(8)","李豫"
"Li Yuan","李謜"
"Li Yuan","李愿"
"Li Yuan","李瑗"
"Li Yuanben","李元本"
"Li Yuanchang","李元昌"
"Li Yuangui","李元軌"
"Li Yuanheng","李元亨"
"Li Yuanhong","李元紘"
"Li Yuanji","李元吉"
"Li Yuanjia","李元嘉"
"Li Yuanjing","李元景"
"Li Yuanli","李元禮"
"Li Yuanliang","李元諒"
"Li Yuanming","李元名"
"Li Yuanqing","李元慶"
"Li Yuansu","李元素"
"Li Yuanxiang","李元祥"
"Li Yuanxiao","李元曉"
"Li Yuanyi","李元懿"
"Li Yuanying","李元嬰"
"Li Yuanyu","李元裕"
"Li Yuanze","李元則"
"Li Yuanzhong","李元忠"
"Li Yue","李約"
"Li Yuzhong","李虞仲"
"Li Zao","李造"
"Li Zeyan","李擇言"
"Li Zezhi","李則之"
"Li Zhan","李湛"
"Li Zhang","李璋"
"Li Zhaode","李昭德"
"Li Zhen","李珍"
"Li Zhen","李鎮"
"Li Zhengji","李正己"
"Li Zhensu","李貞素"
"Li Zhi","李質"
"Li Zhiyun","李智雲"
"Li Zhongchen","李忠臣"
"Li Zhongjun","李重俊"
"Li Zhongmao","李重茂"
"Li Zhongmin","李中敏"
"Li Zhongwen","李仲文"
"Li Zhou","李舟"
"Li Zhu","李柱"
"Li Zhui","李倕"
"Li Zihe","李子和"
"Li Ziliang","李自良"
"Li Zixiong","李子雄"
"Li Zong","李縱"
"Li Zong","李綜"
"Li Zongchen","李宗臣"
