"An Lushan","安祿山"
"Pei Ziyu","裴子餘"
"Pei Zunqing","裴遵慶"
"Pugu Bin","僕固玢"
"Pugu Huaien","僕固懷恩"
"Pugu Yang","僕固瑒"
"Qi Huan","齊澣"
"Qi Kang","齊抗"
"Qi Ying","齊映"
"Qian Hui","錢徽"
"Qian Jiulong","錢九隴"
"Qian Kefu","錢可復"
"Qian Xu","錢珝"
"Qiao Lin","喬琳"
"Qibie Heli","契苾何力"
"Qin Shubao","秦叔寶"
"Qin Wutong","秦武通"
"Qiu He","丘和"
"Qiu Shenji","丘神勣"
"Qiu Shili","丘師利"
"Qiu Shou","丘壽"
"Qiu Xinggong","丘行恭"
"Qu Bin","曲彬"
"Qu Huan","曲環"
"Quan Deyu","權德輿"
"Quan Qu","權璩"
"Quan Wei","權威"
"Qutu Tong","屈突通"
"Ren Gui","任瓌"
"Shang Kegu","尚可孤"
"Shangguan Tingzhi","上官庭芝"
"Shangguan Waner","上官婉兒"
"Shangguan Yi","上官儀"
"Shen Bo","申伯"
"Shen Chuanshi","沈傳師"
"Shen Jiefu","沈介福"
"Shen Xun","沈詢"
"Shen Yizhi","沈易直"
"Shen Zhen","沈震"
"Shi Chaoyi","史朝義"
"Shi Danai","史大奈"
"Shi Hong","石洪"
"Shi Jingfeng","史敬奉"
"Shi Siming","史思明"
"Shi Wanbao","史萬寶"
"Shi Wuzi","史務滋"
"Shi Xiong","石雄"
"Shu Yuanyu","舒元輿"
"Song Ding","宋鼎"
"Song Hun","宋渾"
"Song Jing","宋璟"
"Song Lie","宋烈"
"Song Qingli","宋慶禮"
"Song Ruolun","宋若倫"
"Song Ruoshen","宋若莘"
"Song Ruoxian","宋若憲"
"Song Ruoxun","宋若荀"
"Song Ruozhao","宋若昭"
"Song Shenxi","宋申錫"
"Song Tingfen","宋廷芬"
"Su Gan","蘇幹"
"Su Gui","蘇瓌"
"Su Jin","蘇晉"
"Su Meidao","蘇味道"
"Su Shen","蘇詵"
"Su Ting","蘇頲"
"Su Wei","蘇威"
"Su Xiang","蘇翔"
"Su Xiang","蘇珦"
"Su Xu","蘇勗"
"Su Zhen(3)","蘇震"
"Sun Jian(2)","孫簡"
"Sun Wo","孫偓"
"Tang Chaochen","唐朝臣"
"Tang Fengyi","唐奉義"
"Tang Jian","唐鑒"
"Tang Jian","唐儉"
"Tang Jiao","唐皎"
"Tang Lin","唐林"
"Tang Lin","唐臨"
"Tang Qu","唐衢"
"Tang Shao","唐紹"
"Tang Xiujing","唐休璟"
"Tang Yi","唐禕"
"Tang Yong(2)","唐邕"
"Tang Zhiji","唐之奇"
"Tian Bu","田布"
"Tian Chengsi","田承嗣"
"Tian Deping","田德平"
"Tian Hongzheng","田弘正"
"Tian Jian","田季安"
"Tian Jigao","田季羔"
"Tian Mou","田牟"
"Tian Qianzhen","田乾眞"
"Tian Shengong","田神功"
"Tian Shenyu","田神玉"
"Tian Shikang","田世康"
"Tian Xijian","田希鑒"
"Tian Xu","田緒"
"Tian Yue","田悅"
"Tian Zaiyou","田在宥"
"Tian Zan","田瓚"
"Wan Bo","關播"
"Wang  Shichong","王世充"
"Wang Ang","王昂"
"Wang Bo","王播"
"Wang Chengzong","王承宗"
"Wang Deren","王德仁"
"Wang Duo","王鐸"
"Wang E","王鍔"
"Wang Fan","王璠"
"Wang Fu","王撫"
"Wang Fu","王俌"
"Wang Guangfu","王光輔"
"Wang Gui","王軌"
"Wang Gui","王龜"
"Wang Gui","王珪"
"Wang Hong","王翃"
"Wang Hong","王紘"
"Wang Hong","王鉷"
"Wang Hua","汪華"
"Wang Hui","王徽"
"Wang Ji","王稷"
"Wang Jin","王縉"
"Wang Jingchong","王景崇"
"Wang Jishan","王及善"
"Wang Ju","王琚"
"Wang Jun","王晙"
"Wang Jun?","王君㚟"
"Wang June","王君愕"
"Wang Junkuo","王君廓"
"Wang Liao","王鐐"
"Wang Lin","王琳"
"Wang Ling","王陵"
"Wang Maoyuan","王茂元"
"Wang Maozhong","王毛仲"
"Wang Nande","王難得"
"Wang Ning","王凝"
"Wang Pei","王沛"
"Wang Pu","王溥"
"Wang Qi","王起"
"Wang Qiu","王丘"
"Wang Qiyao","王栖曜"
"Wang Renjiao","王仁皎"
"Wang Rong","王戎"
"Wang Shao","王紹"
"Wang Shaoding","王紹鼎"
"Wang Shaoqing","王紹卿"
"Wang Shaoyi","王紹懿"
"Wang Sheng","王昇"
"Wang Shi","王式"
"Wang Shiping","王士平"
"Wang Shiqing","王士清"
"Wang Shizhen","王士眞"
"Wang Shouyi","王守一"
"Wang Shuwen","王叔文"
"Wang Sijing","王思敬"
"Wang Sili","王思禮"
"Wang Sui","王遂"
"Wang Sui","王遂"
"Wang Tingcou","王廷湊"
"Wang Tingcou","王庭湊"
"Wang Tongjiao","王同皎"
"Wang Tuan","王摶"
"Wang Wei","王威"
"Wang Wei","王緯"
"Wang Wujun","王武俊"
"Wang Xingben","王行本"
"Wang Xiongdan","王雄誕"
"Wang Xuanzhi","王玄志"
"Wang Ya","王涯"
"Wang Yan","王炎"
"Wang Yanping","王晏平"
"Wang Yanwei","王彥威"
"Wang Yanzai","王晏宰"
"Wang Yao","王蕘"
"Wang Yi","王翊"
"Wang Yi","王翊"
"Wang Yuankui","王元逵"
"Wang Zai(2)","王宰"
"Wang Zhao","王沼"
"Wang Zhengya","王正雅"
"Wang Zhi","王質"
"Wang Zhixing","王智興"
"Wang Zhiyin","王志愔"
"Wang Zhongsheng","王仲昇"
"Wang Zhongsi","王忠嗣"
"Wei Anshi","韋安石"
"Wei Ao","韋澳"
"Wei Baoheng","韋保衡"
"Wei Biaowei","韋表微"
"Wei Bin","韋斌"
"Wei Bo","韋播"
"Wei Bo","韋博"
"Wei Boyu","衛伯玉"
"Wei Changyu","韋長裕"
"Wei Chao","韋超"
"Wei Cheng","韋逞"
"Wei Chengqing","韋承慶"
"Wei Chuhou","韋處厚"
"Wei Ci","韋辭"
"Wei Cigong","衛次公"
"Wei Cong","韋琮"
"Wei Cou","韋湊"
"Wei E","韋諤"
"Wei Fu(2)","韋孚"
"Wei Fusi","韋福嗣"
"Wei Gao","韋臯"
"Wei Gao","韋皋"
"Wei Guanzhi","韋貫之"
"Wei Heng","韋恆"
"Wei Hongbiao","韋弘表"
"Wei Hongjing","韋弘景"
"Wei Ji","韋濟"
"Wei Jian","韋堅"
"Wei Jiansu","韋見素"
"Wei Jie","韋捷"
"Wei Juyuan","韋巨源"
"Wei Kang","韋抗"
"Wei Kuang","韋況"
"Wei Lun","韋倫"
"Wei Lun","韋倫"
"Wei Shaoyou","魏少遊"
"Wei Sheng","韋繩"
"Wei Shi","韋氏"
"Wei Shou","韋綬"
"Wei Shou","韋綬"
"Wei Shu","韋述"
"Wei Shuxia","韋叔夏"
"Wei Sili","韋嗣立"
"Wei Siqian","韋思謙"
"Wei Tao","韋縚"
"Wei Tian","魏恬"
"Wei Ting","韋挺"
"Wei Wei","韋維"
"Wei Wen","韋溫"
"Wei Wensheng","衛文昇"
"Wei Xiaojie","衛孝節"
"Wei Xiaqing","韋夏卿"
"Wei Xuan","韋璿"
"Wei Xuantong","魏玄同"
"Wei Xuanzhen","韋玄貞"
"Wei Xun(5)","韋纁"
"Wei Xuxin","韋虛心"
"Wei Xuzhou","韋虛舟"
"Wei Yi(2)","韋顗"
"Wei Yifan","韋貽範"
"Wei You","韋逌"
"Wei Yuanfu","韋元甫"
"Wei Yuangui","韋元珪"
"Wei Yunqi","韋雲起"
"Wei Zhaodu","韋昭度"
"Wei Zheng","魏徵"
"Wei Zhenzai","魏真宰"
"Wei Zhi(2)","韋陟"
"Wei Zhigu","魏知古"
"Wei Zhiren","韋知人"
"Wei Zhu","衛洙"
"Wei Zhuo","韋濯"
"Wen Yanbo","溫彥博"
"Wen Yanhong","溫彥弘"
"Wen Zao","溫造"
"Wen Zhang","溫璋"
"Wenren Suian","聞人遂安"
"Wu Cheng","吳澄"
"Wu Chongfu","烏崇福"
"Wu Cou","吳湊"
"Wu Heita","吳黑闥"
"Wu Jing","武敬"
"Wu Jing","吳兢"
"Wu Jiong","毋煚"
"Wu Linggui","吳令珪"
"Wu Lingxun","武令珣"
"Wu Lingyao","吳令瑤"
"Wu Ruheng","武儒衡"
"Wu Sansi","武三思"
"Wu Shaocheng","吳少誠"
"Wu Shaoyang","吳少陽"
"Wu Shileng","武士稜"
"Wu Shiyi","武士逸"
"Wu Shiyue","武士彠"
"Wu Xu","吳漵"
"Wu Yanxiu","武延秀"
"Wu Youzhi","武攸止"
"Wu Yuanheng","武元衡"
"Wu Yuanji","吳元濟"
"Wu Yuanji","吳元濟"
"Wu Zetian(F)","武則天"
"Wu Zhen","武甄"
"Wu Zhongru","吳仲孺"
"Wu Zhongyin","烏重胤"
"Xi Jin","席晉"
"Xi Shimei","郗士美"
"Xi Yu","席豫"
"Xi Zhi","奚陟"
"Xiahou Zi","夏侯孜"
"Xiang Runke","向潤客"
"Xianyu Shuming","鮮于叔明"
"Xianyu Zhongtong","鮮于仲通"
"Xiao Ben","蕭本"
"Xiao Ding","蕭鼎"
"Xiao Fu","蕭復"
"Xiao Heng","蕭衡"
"Xiao Hu","蕭祜"
"Xiao Hua","蕭華"
"Xiao Jing","蕭璟"
"Xiao Pei","蕭佩"
"Xiao Ru","蕭儒"
"Xiao Rui","蕭銳"
"Xiao Sheng(2)","蕭升"
"Xiao Si","蕭偲"
"Xiao Siye","蕭嗣業"
"Xiao Song","蕭嵩"
"Xiao Wei","蕭位"
"Xiao Xin","蕭昕"
"Xiao Xin","蕭昕"
"Xiao Yan","蕭巖"
"Xiao Ye","蕭鄴"
"Xiao Yingshi","蕭穎士"
"Xiao You","蕭祐"
"Xiao Yu","蕭瑀"
"Xiao Zao","蕭造"
"Xiao Zhizhong","蕭至忠"
"Xie Shufang","謝叔方"
"Xin Maojiang","辛茂將"
"Xin Mi","辛祕"
"Xin Tipi","辛替否"
"Xin Yunjing","辛雲京"
"Xing Junya","邢君牙"
"Xiong Wang","熊望"
"Xu Can","徐粲"
"Xu Guidao","徐歸道"
"Xu Hong","徐洪"
"Xu Huangyu","徐璜玉"
"Xu Hui","徐晦"
"Xu Hui","徐惠"
"Xu Jian","徐堅"
"Xu Jingxian","許景先"
"Xu Jingye","徐敬業"
"Xu Jingzong","許敬宗"
"Xu Lingyan","徐令言"
"Xu Mengrong","許孟容"
"Xu Shixu","許世緒"
"Xu Xiaode","徐孝德"
"Xu Yougong","徐有功"
"Xu Yuanlang","徐圓朗"
"Xu Yushi","許圉師"
"Xue ?","薛㟧"
"Xue Bao","薛寶"
"Xue Baoxun","薛保遜"
"Xue Bo","薛播"
"Xue Chongjian","薛崇簡"
"Xue Chuyu","薛楚玉"
"Xue Cuncheng","薛存誠"
"Xue Daoheng","薛道衡"
"Xue Fang","薛放"
"Xue Ji","薛岌"
"Xue Jianxun","薛兼訓"
"Xue Jichang","薛季昶"
"Xue Jingxian","薛景先"
"Xue Jue","薛珏"
"Xue Kegou","薛克構"
"Xue Ne","薛訥"
"Xue Pi","薛伾"
"Xue Ping","薛平"
"Xue Qianguang","薛謙光"
"Xue Rengui","薛仁貴"
"Xue Rong","薛戎"
"Xue Shen","薛深"
"Xue Song","薛嵩"
"Xue Tinglao","薛庭老"
"Xue Wanche","薛萬徹"
"Xue Xian","薛獻"
"Xue Xiong","薛雄"
"Xue Zhaowei","薛昭緯"
"Yan Gaoqing","顏杲卿"
"Yan Juyuan","閻巨源"
"Yan Li","嚴礪"
"Yan Minchu","顏愍楚"
"Yan Shigu","顏師古"
"Yan Shou","嚴綬"
"Yan Silu","顏思魯"
"Yan Tingzhi","嚴挺之"
"Yan Wu","嚴武"
"Yan Zhen","嚴震"
"Yan Zhenqing","顏真卿"
"Yang Chaosheng","楊朝晟"
"Yang Chaosheng","楊朝晟"
"Yang Chongjing","楊崇敬"
"Yang Fa","楊發"
"Yang Fang","楊昉"
"Yang Gongren(2)","楊恭仁"
"Yang Guozhong","楊國忠"
"Yang Hangong","楊漢公"
"Yang Huaibin","楊懷賓"
"Yang Huiyuan","陽惠元"
"Yang Jingfu","楊景復"
"Yang Jun","楊均"
"Yang Linfu","楊林甫"
"Yang Longli","楊隆禮"
"Yang Lve","楊略"
"Yang Ping","楊憑"
"Yang Qiao","陽嶠"
"Yang Rushi","楊汝士"
"Yang Shaofu","楊紹復"
"Yang She","楊涉"
"Yang Shenjin","楊愼矜"
"Yang Shidao","楊師道"
"Yang Shifu","楊師復"
"Yang Shou","楊授"
"Yang Shou","楊收"
"Yang Sifu","楊嗣復"
"Yang Sijing","楊思敬"
"Yang Sixuan","楊思玄"
"Yang Sixun","楊思訓"
"Yang Su","楊素"
"Yang Sun","楊損"
"Yang Wan(4)","楊綰"
"Yang Wengan","楊文幹"
"Yang Xian","楊銛"
"Yang Xuangan","楊玄感"
"Yang Xuangui","楊玄珪"
"Yang Xuanjiao","楊玄璬"
"Yang Xuanyan","楊玄琰"
"Yang Yan","楊炎"
"Yang Yan(4)","楊嚴"
"Yang Yang","楊瑒"
"Yang Yanzong","楊延宗"
"Yang Yichen","楊義臣"
"Yang Yuanqing","楊元卿"
"Yang Yuanyan","楊元琰"
"Yang Yuhuan","楊玉環"
"Yang Yuling","楊於陵"
"Yang Yuqing","楊虞卿"
"Yang Yuzhi","楊豫之"
"Yang Zaisi","楊再思"
"Yang Zhengdao","楊正道"
"Yang Zhiqing","楊知慶"
"Yang Zhongchang","楊仲昌"
"Yao Chong","姚崇"
"Yao He","姚合"
"Yao Kuang","姚況"
"Yao Lingyan","姚令言"
"Yao Nanzhong","姚南仲"
"Yao Shu","姚璹"
"Yao Ting","姚珽"
"Yao Xu","姚勗"
"Yao Yi","姚奕"
"Yao Yi(2)","姚懿"
"Yao Ziang","藥子昂"
"Yi Shen","伊慎"
"Yin Buhai","殷不害"
"Yin Qiao","殷嶠"
"Yin Sengshou","殷僧首"
"Yin Sizhen","尹思貞"
"Yin Yingsun","殷盈孫"
"Yin You","殷侑"
"Yin Ziqi","尹子奇"
"Yu Ao","于敖"
"Yu Chaoen","魚朝恩"
"Yu Cong","于琮"
"Yu Di","于頔"
"Yu Gongyi","于公異"
"Yu Jiyou","于季友"
"Yu Juluo","魚俱羅"
"Yu Qi","于頎"
"Yu Shao","于邵"
"Yu Shiji","虞世基"
"Yu Shinan","虞世南"
"Yu Su","于肅"
"Yu Xin","庾信"
"Yu Xiulie","于休烈"
"Yu Yun","于筠"
"Yu Zhining","于志寧"
"Yu Zhun","庾準"
"Yuan Baozang","元寶藏"
"Yuan Bohe","元伯和"
"Yuan Dexiu","元德秀"
"Yuan Gao","袁高"
"Yuan Guangting","袁光庭"
"Yuan Guangyu","源光裕"
"Yuan Junzhang","苑君璋"
"Yuan Qianyao","源乾曜"
"Yuan San","袁傪"
"Yuan Shuji","袁恕己"
"Yuan Wei","源洧"
"Yuan Xingchong","元行沖"
"Yuan Xiu","元琇"
"Yuan Zai","元載"
"Yuan Zhen","元稹"
"Yuan Zhongwu","元仲武"
"Yuan Zigan","袁子幹"
"Yuchi Gong","尉遲恭"
"Yuwen Huaji","宇文化及"
"Yuwen Ji","宇文籍"
"Yuwen Jie","宇文節"
"Yuwen Rong","宇文融"
"Yuwen Shiji","宇文士及"
"Yuwen Shu","宇文述"
"Yuwen Xin","宇文歆"
"Yuwen Zhiji","宇文智及"
"Zhang Ang","張昂"
"Zhang Baoxiang","張寶相"
"Zhang Bi","張弼"
"Zhang Boyi","張伯儀"
"Zhang Changgui","張長貴"
"Zhang Changxun","張長遜"
"Zhang Chenhe","張臣合"
"Zhang Chongguang","張重光"
"Zhang Cizong","張次宗"
"Zhang Da","張達"
"Zhang Daoyuan","張道源"
"Zhang Du","張讀"
"Zhang Gao","張皋"
"Zhang Gao(7)","張鎬"
"Zhang Gongjin","張公謹"
"Zhang Guangfu","張光輔"
"Zhang Hongjing","張弘靖"
"Zhang Houde","張侯德"
"Zhang Ji","張垍"
"Zhang Ji","張籍"
"Zhang Jian","張薦"
"Zhang Jian","張戩"
"Zhang Jianfeng","張建封"
"Zhang Jianfeng","張建封"
"Zhang Jianzhi","張柬之"
"Zhang Jiayou","張嘉祐"
"Zhang Jiazhen","張嘉貞"
"Zhang Jin","張瑾"
"Zhang Jing","張璟"
"Zhang Jingze","張敬則"
"Zhang Jinshu","張金樹"
"Zhang Jiugao","張九皋"
"Zhang Jiuling","張九齡"
"Zhang Ju","張舉"
"Zhang Jun","張均"
"Zhang Keqin","張克勤"
"Zhang Liang","張良"
"Zhang Liang","張亮"
"Zhang Lun","張綸"
"Zhang Maohe","張茂和"
"Zhang Maoshu","張茂樞"
"Zhang Maozhao","張茂昭"
"Zhang Maozong(2)","張茂宗"
"Zhang Meng","張濛"
"Zhang Pang","張滂"
"Zhang Pang","張滂"
"Zhang Pinggao","張平高"
"Zhang Qiqiu","張齊丘"
"Zhang Quyi","張去逸"
"Zhang Renyuan","張仁愿"
"Zhang Shanan","張善安"
"Zhang Shougui","張守珪"
"Zhang Shouqi","張守琦"
"Zhang Shouyu","張守瑜"
"Zhang Song","張嵩"
"Zhang Su","張宿"
"Zhang Tingfan","張廷範"
"Zhang Tinggui","張廷珪"
"Zhang Tongru","張通儒"
"Zhang Wanfu","張萬福"
"Zhang Wansui","張萬歲"
"Zhang Wei","張暐"
"Zhang Wencong","張文琮"
"Zhang Wenguan","張文瓘"
"Zhang Wengui","張文規"
"Zhang Wenshou","張文收"
"Zhang Xiancheng","張獻誠"
"Zhang Xianfu","張獻甫"
"Zhang Xiangong","張獻恭"
"Zhang Xiaozhong(3)","張孝忠"
"Zhang Xifu","張希復"
"Zhang Xin","張昕"
"Zhang Xu","張煦"
"Zhang Xun","張濬"
"Zhang Yanshang","張延賞"
"Zhang Yi","張禕"
"Zhang Yi(16)","張鎰"
"Zhang Yifu","張毅夫"
"Zhang Yin","張愔"
"Zhang Yizhi","張易之"
"Zhang Youxin","張又新"
"Zhang Yue","張說"
"Zhang Yue","張越"
"Zhang Zheng","張拯"
"Zhang Zhengfu","張正甫"
"Zhang Zhi","張志"
"Zhang Zhifu","張之輔"
"Zhang Zhongfang","張仲方"
"Zhangsun Anye","長孫安業"
"Zhangsun Wuji","長孫無忌"
"Zhao Chang","趙昌"
"Zhao Chengen","趙承恩"
"Zhao Chongguo","趙充國"
"Zhao Cihao","趙慈皓"
"Zhao Cong(2)","趙縱"
"Zhao Fu","趙復"
"Zhao Guozhen","趙國珍"
"Zhao Hao","趙鎬"
"Zhao Hongan","趙弘安"
"Zhao Jing","趙憬"
"Zhao Jing","趙敬"
"Zhao Jing","趙憬"
"Zhao Jing","趙憬"
"Zhao Junde","趙君德"
"Zhao Lvwen","趙履溫"
"Zhao Shida","趙士達"
"Zhao Wugai","趙武蓋"
"Zhao Yanzhao","趙彥昭"
"Zhao Yin","趙隱"
"Zhao Yuankai","趙元楷"
"Zhao Zan","趙贊"
"Zhao Zongru","趙宗儒"
"Zheng Chuhui","鄭處誨"
"Zheng Congdang","鄭從讜"
"Zheng Hao","鄭顥"
"Zheng Huan","鄭澣"
"Zheng Maoxiu","鄭茂休"
"Zheng Qi","鄭綮"
"Zheng Quan","鄭權"
"Zheng Quan","鄭權"
"Zheng Renbiao","鄭仁表"
"Zheng Rentai","鄭仁泰"
"Zheng Shanguo","鄭善果"
"Zheng Su","鄭肅"
"Zheng Tian","鄭畋"
"Zheng Ting","鄭頲"
"Zheng Weizhong","鄭惟忠"
"Zheng Xun","鄭薰"
"Zheng Yanchang","鄭延昌"
"Zheng Yao","鄭繇"
"Zheng Yin","鄭愔"
"Zheng Yin","鄭絪"
"Zheng Yin(2)","鄭絪"
"Zheng Yuan","鄭元"
"Zheng Yuanshu","鄭元璹"
"Zheng Yunmu","鄭允謨"
"Zheng Yuqing","鄭餘慶"
"Zheng Zhide","鄭祇徳"
"Zheng Zhu","鄭注"
"Zhong Shaojing","鍾紹京"
"Zhou Chi","周墀"
"Zhou Faming","周法明"
"Zhou Xing","周興"
"Zhou Yunyuan","周允元"
"Zhou Zhiguang","周智光"
"Zhu Jingze","朱敬則"
"Zhu Pu","朱朴"
"Zhu Qinming","祝欽明"
"Zhu Quanzhong","朱全忠"
"Zhu Rengui","朱仁軌"
"Zhu Tao","朱滔"
"Zhu Xicai","朱希彩"
"Zhu Zhongliang","朱忠亮"
"Zhu Zi","朱泚"
"Zhuge Dewei","諸葛德威"
"Zong Chuke","宗楚客"
"Zu Junyan","祖君彥"
"Zuo Nandang","左難當"
"Zuo Youxian","左遊仙"
